URL,画像URL,名前,タンパク質,脂質,炭水化物,食物繊維,カリウム,カルシウム,鉄,亜鉛,ビタミンA,ビタミンB1,ビタミンB2,ビタミンC,ビタミンD,ビタミンE,Unnamed: 16
https://www.kurashiru.com/recipes/0fd01e41-4ae6-4ca2-8a4b-3421cf0a0fa1,https://video.kurashiru.com/production/videos/0fd01e41-4ae6-4ca2-8a4b-3421cf0a0fa1/compressed_thumbnail_square_large.jpg?1683693594,まぶして3分＆揚げて3分！簡単から揚げ　レシピ・作り方,91.62,92.002,34.736,1.338,949.8,96.16,5.12,8.86,241.5,0.412,1.152,5.42,0.5,0.676,5.35
https://www.kurashiru.com/recipes/80d2709e-fc6a-4022-a89d-9fad974a2d82,https://video.kurashiru.com/production/videos/80d2709e-fc6a-4022-a89d-9fad974a2d82/compressed_thumbnail_square_large.jpg?1717951521,キャベツとニラたっぷりの焼き餃子　レシピ・作り方,35.70075,42.81225,93.475,8.037,1011.2125,108.04375,3.346375,4.668125,15.2075,1.0060875,0.4223375,42.9425,0.416,2.461625,2.33
https://www.kurashiru.com/recipes/3b0ebaa2-1bde-44c5-ad68-280b3669da76,https://video.kurashiru.com/production/videos/3b0ebaa2-1bde-44c5-ad68-280b3669da76/compressed_thumbnail_square_large.jpg?1711075930,簡単に作れる 焼き餃子　レシピ・作り方,36.144375,66.16925,98.15,6.72875,963.935,106.54375,3.436625,4.671375,14.32125,0.983875,0.44095,39.3525,0.416,6.46025,5.58
https://www.kurashiru.com/recipes/d70b6d20-e200-460e-8a98-407117ab8724,https://video.kurashiru.com/production/videos/d70b6d20-e200-460e-8a98-407117ab8724/compressed_thumbnail_square_large.jpg?1718124322,簡単 デミグラスソースのハンバーグ　レシピ・作り方,48.458,63.296,49.8524,3.276,1285.55,116.489,6.5353,1.2805,279.585,0.84135,0.74497,17.85,3.0,3.293,7.87
https://www.kurashiru.com/recipes/698e0688-4780-4e39-a33e-85f520431c93,https://video.kurashiru.com/production/videos/698e0688-4780-4e39-a33e-85f520431c93/compressed_thumbnail_square_large.jpg?1710300694,サッパリ おろしポン酢ハンバーグ　レシピ・作り方,49.2345,80.973,27.4228,4.707,1313.09,162.53,5.76358,1.4841,217.557,0.85051,0.7296,23.684,2.9862,5.2014,3.9674
https://www.kurashiru.com/recipes/207651df-ef82-43a5-9471-afdd0240b802,https://video.kurashiru.com/production/videos/207651df-ef82-43a5-9471-afdd0240b802/compressed_thumbnail_square_large.jpg?1713507727,初心者さんでも簡単 とろとろ卵のシンプルオムライス　レシピ・作り方,17.961,60.528,87.5725,5.022,921.14,117.515,3.0885,2.956,348.65,0.4771,0.42875,36.68,2.7345,4.539,7.991
https://www.kurashiru.com/recipes/03d7e213-ae17-4a58-bae7-5dd4ed3c845c,https://video.kurashiru.com/production/videos/03d7e213-ae17-4a58-bae7-5dd4ed3c845c/compressed_thumbnail_square_large.jpg?1701414337,きのこデミグラスをまとったドレスオムライス　レシピ・作り方,19.784,33.924,87.672,6.022,1241.4,113.84,3.43,3.242,449.28,0.3458,0.7524,14.68,5.272,3.934,7.6
https://www.kurashiru.com/recipes/6fbff932-13ad-49d7-b5b9-3d49f5eebbd1,https://video.kurashiru.com/production/videos/6fbff932-13ad-49d7-b5b9-3d49f5eebbd1/compressed_thumbnail_square_large.jpg?1639367889,明太子ソースでとろとろオムライス　レシピ・作り方,18.71325,69.68425,51.15805,0.40625,242.915,77.505,1.31583,2.52935,302.652,0.216735,0.434525,30.554,2.9727,7.99015,4.5309
https://www.kurashiru.com/recipes/eb59ea7a-801d-4e6e-846f-d49601fdf2cf,https://video.kurashiru.com/production/videos/eb59ea7a-801d-4e6e-846f-d49601fdf2cf/compressed_thumbnail_square_large.jpg?1650613530,シーフードミックスで簡単マカロニグラタン　レシピ・作り方,41.0665,51.6345,44.1518,4.82,322.0,700.11,3.18308,2.2071,307.727,0.14166,0.4223,8.154,0.1062,2.8834,5.8014
https://www.kurashiru.com/recipes/510cc4eb-3923-42bd-ad4a-65e5b4771a89,https://video.kurashiru.com/production/videos/510cc4eb-3923-42bd-ad4a-65e5b4771a89/compressed_thumbnail_square_large.jpg?1639367889,鶏肉とほうれん草のクリームグラタン　レシピ・作り方,99.67425,120.19025,19.52255,6.57825,1661.275,380.08,7.71033,9.75535,767.222,0.556535,1.463575,59.414,0.6062,4.44115,2.4344
https://www.kurashiru.com/recipes/42eac0f9-3e0d-4536-9ab3-233e83733326,https://video.kurashiru.com/production/videos/42eac0f9-3e0d-4536-9ab3-233e83733326/compressed_thumbnail_square_large.jpg?1702962373,鶏もも肉とカボチャのとろーりグラタン　レシピ・作り方,112.85175,122.74375,36.85455,10.34625,2006.375,743.25,6.31433,9.20185,678.927,0.606735,1.633775,44.154,0.6062,6.13015,2.5639
https://www.kurashiru.com/recipes/4afa40f9-5ca9-4a86-9125-f6dbe8326cb5,https://video.kurashiru.com/production/videos/4afa40f9-5ca9-4a86-9125-f6dbe8326cb5/compressed_thumbnail_square_large.jpg?1718037922,みんな大好き！昔ながらのポークカレー　レシピ・作り方,46.357,151.95,107.211,41.696,2709.3,172.69,8.56,46.228,1063.04,1096.5352,0.5399,91.1225,1.2,8.027,11.134
https://www.kurashiru.com/recipes/38d5cd9b-3710-4fe3-828f-71d2622e1f44,https://video.kurashiru.com/production/videos/38d5cd9b-3710-4fe3-828f-71d2622e1f44/compressed_thumbnail_square_large.jpg?1697175736,レトルトカレーリメイク 焼きカレー　レシピ・作り方,38.385,59.668,41.781,1.965,170.44,649.93,1.229,1.377,378.68,0.1104,0.5345,0.0,2.334,3.295,1.929
