URL,画像URL,名前,タンパク質,脂質,炭水化物,食物繊維,カリウム,カルシウム,鉄,亜鉛,ビタミンA,ビタミンB1,ビタミンB2,ビタミンC,ビタミンD,ビタミンE,Unnamed: 16
https://www.kurashiru.com/recipes/0fd01e41-4ae6-4ca2-8a4b-3421cf0a0fa1,https://video.kurashiru.com/production/videos/0fd01e41-4ae6-4ca2-8a4b-3421cf0a0fa1/compressed_thumbnail_square_large.jpg?1683693594,まぶして3分＆揚げて3分！簡単から揚げ,0.165978261,0.16667029,0.062927536,0.002423913,0.001720652,0.000174203,9.2754e-06,1.60507e-05,4.375e-07,7.464e-07,2.087e-06,9.8188e-06,9e-10,1.2246e-06,5.35
https://www.kurashiru.com/recipes/80d2709e-fc6a-4022-a89d-9fad974a2d82,https://video.kurashiru.com/production/videos/80d2709e-fc6a-4022-a89d-9fad974a2d82/compressed_thumbnail_square_large.jpg?1639367889,キャベツとニラたっぷりの焼き餃子,0.075878321,0.090993092,0.198671626,0.017081828,0.00214923,0.000229636,7.1124e-06,9.9216e-06,3.23e-08,2.1383e-06,8.976e-07,9.12699e-05,9e-10,5.2319e-06,2.33
https://www.kurashiru.com/recipes/3b0ebaa2-1bde-44c5-ad68-280b3669da76,https://video.kurashiru.com/production/videos/3b0ebaa2-1bde-44c5-ad68-280b3669da76/compressed_thumbnail_square_large.jpg?1711075930,簡単に作れる 焼き餃子,0.063718599,0.116649185,0.173027766,0.011862054,0.001699312,0.000187825,6.0584e-06,8.2351e-06,2.52e-08,1.7345e-06,7.773e-07,6.93742e-05,7e-10,1.13887e-05,5.58
https://www.kurashiru.com/recipes/d70b6d20-e200-460e-8a98-407117ab8724,https://video.kurashiru.com/production/videos/d70b6d20-e200-460e-8a98-407117ab8724/compressed_thumbnail_square_large.jpg?1710300694,簡単 デミグラスソースのハンバーグ,0.084539428,0.11042568,0.086972087,0.005715283,0.00224276,0.000203226,1.14014e-05,2.2339e-06,4.878e-07,1.4678e-06,1.2997e-06,3.1141e-05,5.2e-09,5.7449e-06,7.87
https://www.kurashiru.com/recipes/698e0688-4780-4e39-a33e-85f520431c93,https://video.kurashiru.com/production/videos/698e0688-4780-4e39-a33e-85f520431c93/compressed_thumbnail_square_large.jpg?1710300694,サッパリ おろしポン酢ハンバーグ,0.076581895,0.125949603,0.042654845,0.007321512,0.002042448,0.000252808,8.965e-06,2.3084e-06,3.384e-07,1.3229e-06,1.1349e-06,3.68393e-05,4.6e-09,8.0905e-06,3.9674
https://www.kurashiru.com/recipes/207651df-ef82-43a5-9471-afdd0240b802,https://video.kurashiru.com/production/videos/207651df-ef82-43a5-9471-afdd0240b802/compressed_thumbnail_square_large.jpg?1713507727,初心者さんでも簡単 とろとろ卵のシンプルオムライス,0.028020281,0.094427457,0.136618565,0.007834633,0.001437036,0.000183331,4.8183e-06,4.6115e-06,5.439e-07,7.443e-07,6.689e-07,5.72231e-05,4.3e-09,7.0811e-06,7.991
https://www.kurashiru.com/recipes/03d7e213-ae17-4a58-bae7-5dd4ed3c845c,https://video.kurashiru.com/production/videos/03d7e213-ae17-4a58-bae7-5dd4ed3c845c/compressed_thumbnail_square_large.jpg?1701414337,きのこデミグラスをまとったドレスオムライス,0.025364103,0.043492308,0.1124,0.007720513,0.001591538,0.000145949,4.3974e-06,4.1564e-06,5.76e-07,4.433e-07,9.646e-07,1.88205e-05,6.8e-09,5.0436e-06,7.6
https://www.kurashiru.com/recipes/6fbff932-13ad-49d7-b5b9-3d49f5eebbd1,https://video.kurashiru.com/production/videos/6fbff932-13ad-49d7-b5b9-3d49f5eebbd1/compressed_thumbnail_square_large.jpg?1639367889,明太子ソースでとろとろオムライス,0.045075876,0.167853186,0.123227869,0.000978562,0.000585126,0.000186692,3.1695e-06,6.0926e-06,7.29e-07,5.221e-07,1.0467e-06,7.35975e-05,7.2e-09,1.92464e-05,4.5309
https://www.kurashiru.com/recipes/eb59ea7a-801d-4e6e-846f-d49601fdf2cf,https://video.kurashiru.com/production/videos/eb59ea7a-801d-4e6e-846f-d49601fdf2cf/compressed_thumbnail_square_large.jpg?1650613530,シーフードミックスで簡単マカロニグラタン,0.027216184,0.034219962,0.029260919,0.00319438,0.0002134,0.000463987,2.1095e-06,1.4627e-06,2.039e-07,9.39e-08,2.799e-07,5.4039e-06,1e-10,1.9109e-06,5.8014
https://www.kurashiru.com/recipes/510cc4eb-3923-42bd-ad4a-65e5b4771a89,https://video.kurashiru.com/production/videos/510cc4eb-3923-42bd-ad4a-65e5b4771a89/compressed_thumbnail_square_large.jpg?1639367889,鶏肉とほうれん草のクリームグラタン,0.122202231,0.147355177,0.02393496,0.00806504,0.00203675,0.000465984,9.453e-06,1.19602e-05,9.406e-07,6.823e-07,1.7944e-06,7.28425e-05,7e-10,5.4449e-06,2.4344
